id,title,umbrella,videoCount
UC-6LDZDGRvS8XH9O8An4kEg,Live Your Message with Marisa Murgatroyd,News & Commentary,420
UCOwiQHSjCZdLfurAAnh7v7w,LLTArchived2,Unclassified,0
UCBeWUqDIm65lB9w9MuDAWrA,Locometric,Unclassified,37
UC-RA5BzE_BnZhf5iVdNF1hA,loopop,Music & Musicians,397
UCG2Any5yo0Lgiwf3o_GiF-A,Los Lonely Boys,Unclassified,74
UC3TqK2sSktlk7CmXGpw7_Cg,Low End University,Music & Musicians,326
UC6biysICWOJ-C3P4Tyeggzg,Low Level,Tech & Software,327
UCM05jgFNwoeXvWfO9GuExzA,Luke Beasley,News & Commentary,5069
UCZrvodIV5I4meIJl8P2NF6A,Luke Million,Unclassified,290
UCMLtBahI5DMrt0NPvDSoIRQ,Machine Learning Street Talk,Tech & Software,301
UClI2TvzZX2IkZ_usZV8QOvA,Mack Avenue,Music & Musicians,1647
UCqmjz2x7NffJRMg4mmeDTvg,magicplan,Tech & Software,298
UCcNrmSXswsMJzuaSQknziTw,Make Money Matt,Business & Finance,104
UCmRE4gvdeDkwf1oJrsabWWQ,MAKE. ART. NOW.,Unclassified,113
UCZiGGE0e0DctISlShAILbjQ,Marcin,Music & Musicians,48
UCknsp0YMH7BwVes8_bwWpnw,Mark Harrison,News & Commentary,570
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,Unclassified,229
UCsPpLcxHv5XJw4Rx5GALUjg,MarketingBlocks AI,Tech & Software,231
UCKqf_mRynhJ_o0oGOH4VNvg,"Marla Heller, MS, RD, Mediterranean & DASH expert",Health & Fitness,13
UCKrWgJg6GU9OwC-5fSqfB1g,Martin Miller,Music & Musicians,245
UCjvBO4kjuBSYe6Bi3RYQAQA,"Mary Kate ""M.K."" Williams",Unclassified,580
UCSzRlpPbZTA6b8weTKnSHlA,Mary Trump Media,News & Commentary,1205
UCP5A5lVxaT7cO_LehpxjTZg,Matt Diggity,Unclassified,537
UChYHKRass0kZvBkVKQuZElQ,Matt Gray,Business & Finance,910
UCh1vNDTd-d60UEJRf6BAUZA,Matt Johnson’s Keyspace,Music & Musicians,132
UCLAEBQMxxwE6gNy13q_rdcg,Matt Lorion,Business & Finance,37
UChpleBmo18P08aKCIgti38g,Matt Wolfe,Tech & Software,496
UCwdVOry0oNF9WIe_3uCfz9Q,Matt's Off Road Recovery,Unclassified,978
UCFTEN8q_sQNHVENU4KcCMAA,Matthew Anderson,Unclassified,87
UCawZsQWqfGSbCI5yjkdVkTA,Matthew Berman,Tech & Software,742
UC45W_AtKcDxSmWR1s1xsLEg,Matthew O'Brien,Business & Finance,369
UC_pT_Iz6XjuM-eMTlXghdfw,Max the Meat Guy,Tech & Software,700
UCeRxxz9ByOqdd8A-0iF_Idg,Mayday: Air Disaster,Aviation & Flight,1060
UC4InHaWu_I_vSuBPlVj_L3Q,mbmars01,Unclassified,544
UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,Health & Fitness,621
UC9r9HYFxEQOBXSopFS61ZWg,MeidasTouch,News & Commentary,18421
UCwpHKudUkP5tNgmMdexB3ow,Mentour Pilot,Aviation & Flight,706
UCru5yi7yq_Y8Q4Ye4eB0r2Q,MHFIN,Business & Finance,452
UC1vts8sER8VOrgh9L8RyBOQ,Michael Ramsey:                       On The Riser,Unclassified,142
UCqBERDzM6ZcovT1s01kIrVg,Michigan Foot Doctors,Health & Fitness,1438
UCFtEEv80fQVKkD4h1PF-Xqw,Microsoft,News & Commentary,1599
UCJ9905MRHxwLZ2jeNQGIWxA,Microsoft Mechanics,Tech & Software,1119
UCVGVbOl6F5rGF4wSYS6Y5yQ,MIgardener,Gardening & Outdoors,2312
UCYEiWHoP2IHHgjOapTAYMQw,Mike Russell,Unclassified,1926
UCh35n5aqG8fF2tXXEtDd0EQ,Military News,News & Commentary,217
UC_P_VjGqCyjQyCwBUPu4lHg,Milo Andreo,Music & Musicians,935
UCYenDLnIHsoqQ6smwKXQ7Hg,#Mind Warehouse,Unclassified,957
UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,Unclassified,293
UC8sibhG707qg5AlVlj5P3mw,Momentum Productions,Tech & Software,1081
UCmIxjdhwpUI5lDoslfDqcPQ,Money on The Side,Business & Finance,125
UCSL3dIAj0iMBz1V4Rz-AUFA,MOTIV8,Unclassified,42
UCs26XZBwrSZLiTEH8wcoVXw,Moz,Business & Finance,1048
UCaVp-iXRPfiSxbkhmi56IHQ,MrMBB333,Unclassified,3297
UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,News & Commentary,103518
UC-9-kyTW8ZkZNDHQJ6FgpwQ,Music,Music & Musicians,0
UCV-gQcOtKcxOPaPk1MVe4jQ,Music Shed,Music & Musicians,557
UC5ve4DxNMLRXOetCYWFUkYw,Música Progressiva,Unclassified,74
UC8JT2m0mKEgvEtie3JNKwew,Naked Science,Unclassified,682
UC-_eueKsPcJUPnCguEufWPA,Nate's Tech,Tech & Software,0
UC_7KM3ANRHy2zhQ_zl-C4XQ,Nathan Cool Photo,Unclassified,355
UC0Z-E_L3z_JLVNuFoS8fefA,National Park Diaries,News & Commentary,183
UCejgtTHroWI5sF_2-fuiF4Q,Nature's Always Right,Unclassified,391
UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,Unclassified,42060
UCl-Zrl0QhF66lu1aGXaTbfw,Neil Patel,Business & Finance,2168
UCtYKe7-XbaDjpUwcU5x0bLg,neo,News & Commentary,78
UCCjG8NtOig0USdrT5D1FpxQ,NewsNation,Unclassified,75192
UCcJceGUaevGlP7s2xzL9akA,Next Level Gardening,Gardening & Outdoors,533
UCunQ-SNSI9uOZwrb62po_tQ,Next Level Riding Clinics,Unclassified,147
UCRmm7T6mAm-QBNvnEaIl3AA,Nick Johnston,Unclassified,61
UCxv1rK6prSp2aoNqNyxD_Vg,Nick Page,Gardening & Outdoors,279
UCX9mv-ifhUnNrRi8qdscFeQ,Nick Powell Photography,Unclassified,47
UCbo-KbSjJDG6JWQ_MTZ_rNA,Nick Saraev,Business & Finance,255
UCxMoaKZtWKFuHGr7LIInOOQ,Nick Stephenson,Unclassified,19
UCkJld-AoXurbT2jDnfM8qiA,Nigel Danson,Gardening & Outdoors,435
UCPhq7iR65k0gWcraXgLiY1A,Nigel John Stanford,Music & Musicians,31
UCM2FoYtC-2PQzMr_gDfQnHg,No Film School,Unclassified,792
UCFPzKZg-By8_DtBJiEDLcJw,NOAPOLOGY,Music & Musicians,123
UCUowDOg5xfSWV0hUYeUUbfw,Notepirate,Business & Finance,100
UCjHz5SVHeMT0AViCYZvsGDA,NOVA PBS Official,News & Commentary,1305
UC2mLN9pZNE8_ccLHmA1SHvA,NovationHelp,Unclassified,184
UC4eYXhJI4-7wSWc8UNRwD4A,NPR Music,Music & Musicians,2823
UCHvSoleJlpzZYEHpcn32Xng,NWVideoTours,Business & Finance,259
UCAhcelYvyDAPy0cn_sscWkw,Off Grid In The Pacific North West,Gardening & Outdoors,830
UC5kQUZFCbuZQorVnzS6P_xA,Olivier Girard - the Posture Guy,Unclassified,442
UCdYVQ4i7eZD_GJkL4yxkKCw,Olufemii,Unclassified,735
UC8JracmfBuygk-myx7lVZnw,On the House - Real Estate Marketing,Business & Finance,24
UC0XRm3cLtvjjceli-Oa1X2Q,ONSCENE TV,News & Commentary,8020
UCwpRQ_NrBJvGlwCG__qy9Og,Ordinary Filmmaker,News & Commentary,1818
UC2itzMBo0R0kHZ8cF7nrcaA,Oregon Public Broadcasting,Unclassified,1521
UCeE3lj6pLX_gCd0Yvns517Q,Ozzy Man Reviews,Unclassified,1121
UCSxR0IZEq1WhTJqAnQGyk4g,Pacific Northwest Weather Watch,Weather & Storms,1981
UCTQnU1zyhvwscc2P5QS-tLw,Pakman Live,Unclassified,1028
UCs030M7gu_Pi2ag9a12oa8w,Pan Rocks!,Unclassified,68
UCrRttZIypNTA1Mrfwo745Sg,Paramount Plus,News & Commentary,92054
UCQhuXR2O6MpsCHfByBiF10Q,Pavement Repair Products Co.,DIY/Home/Services,7
UCpxYSWgxVt3Pyn1ovXsGQ0g,PBS Terra,Unclassified,455
